src,tgt,1:1,1:n,n:1,n:m
eng,am,1103.0,0.0,62.0,44.0
eng,ar,1106.0,0.0,3.0,105.0
eng,chk,1104.0,3.0,0.0,107.0
eng,en,1109.0,0.0,0.0,107.0
eng,es,1106.0,2.0,0.0,107.0
eng,fa,1107.0,1.0,1.0,106.0
eng,fr,1107.0,0.0,5.0,102.0
eng,hi,1108.0,1.0,3.0,104.0
eng,hmn,708.0,1.0,1.0,39.0
eng,ium,708.0,1.0,1.0,39.0
eng,ja,1107.0,0.0,73.0,34.0
eng,kar,1107.0,0.0,5.0,102.0
eng,km,1107.0,0.0,71.0,36.0
eng,ko,1098.0,10.0,4.0,103.0
eng,lo,1108.0,0.0,1.0,106.0
eng,mh,1023.0,0.0,1.0,87.0
eng,my,1103.0,0.0,68.0,38.0
eng,ne,1100.0,7.0,9.0,98.0
eng,om,707.0,1.0,0.0,40.0
eng,ps,449.0,0.0,0.0,22.0
eng,rhg,449.0,0.0,2.0,20.0
eng,ro,1065.0,43.0,1.0,106.0
eng,ru,1097.0,11.0,1.0,106.0
eng,so,1105.0,2.0,1.0,106.0
eng,sr,448.0,1.0,0.0,22.0
eng,sw,1105.0,2.0,1.0,106.0
eng,te,1106.0,3.0,1.0,106.0
eng,th,1102.0,6.0,67.0,40.0
eng,tl,1107.0,2.0,0.0,107.0
eng,uk,1105.0,3.0,1.0,106.0
eng,vi,1105.0,3.0,2.0,105.0
eng,zh,1109.0,0.0,72.0,35.0
