src,tgt,docs_with_pair,avg_src_sentences,avg_tgt_sentences
eng,en,1216,1.13,1.13
eng,zh,1216,1.13,1.05
eng,hi,1216,1.13,1.13
eng,te,1216,1.13,1.14
eng,tl,1216,1.13,1.13
eng,lo,1215,1.13,1.13
eng,ko,1215,1.13,1.13
eng,fa,1215,1.13,1.13
eng,ru,1215,1.13,1.14
eng,vi,1215,1.13,1.13
eng,uk,1215,1.13,1.13
eng,th,1215,1.13,1.07
eng,es,1215,1.13,1.14
eng,ro,1215,1.13,1.18
eng,kar,1214,1.13,1.13
eng,chk,1214,1.13,1.13
eng,so,1214,1.13,1.13
eng,ar,1214,1.13,1.13
eng,ne,1214,1.13,1.13
eng,km,1214,1.13,1.06
eng,fr,1214,1.13,1.13
eng,sw,1214,1.13,1.13
eng,ja,1214,1.13,1.05
eng,my,1209,1.13,1.07
eng,am,1209,1.13,1.07
eng,mh,1111,1.12,1.12
eng,hmn,749,1.06,1.06
eng,ium,749,1.06,1.06
eng,om,748,1.06,1.06
eng,ps,471,1.06,1.06
eng,rhg,471,1.06,1.05
eng,sr,471,1.06,1.06
